,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
11,R004209c0g1_i01,3,g18149,NAN,GET3,ATPase ASNA1 homolog (EC 3.6.-.-) (Arsenical pump-driving ATPase homolog) (Arsenite-stimulated ATPase),v1g161623,posttranslational protein targeting to endoplasmic reticulum membrane [GO:0006620]; tail-anchored membrane protein insertion into ER membrane [GO:0071816],"ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail-anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting. "
12,R004233c0g2_i01,5,NA,NAN,NA,NA,NA,NA,NA
13,R004252c0g1_i01,5,g30508,NAN,NA,Oocyte zinc finger protein XlCOF7.1 (Fragment),NA,NA,May be involved in transcriptional regulation.
14,R004357c0g1_i01,5,g1782,GSH synthetase,GSS,Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase),gss,NA,NA
15,R004400c0g1_i01,6,g21761,NAN,NA,Doublesex- and mab-3-related transcription factor 2 (Doublesex-like 2 protein) (DSXL-2),DMRT2 DSXL2,embryonic skeletal system development [GO:0048706]; positive regulation of myotome development [GO:2000287]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of somitogenesis [GO:0014807],"Transcriptional activator that directly regulates early activation of the myogenic determination gene MYF5 by binding in a sequence-specific manner to the early epaxial enhancer element of it. Involved in somitogenesis during embryogenesis and somite development and differentiation into sclerotome and dermomyotome. Required for the initiation and/or maintenance of proper organization of the sclerotome, dermomyotome and myotome (By similarity). "
16,R004415c0g1_i01,1,NA,NAN,NA,NA,NA,NA,NA
17,R005786c0g1_i02,3,g32304,NAN,NA,Forkhead box protein L1 (Forkhead-related protein FKHL11) (Transcription factor FKH-6),Foxl1 Fkh6 Fkhl11,"Peyer's patch morphogenesis [GO:0061146]; anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; heart development [GO:0007507]; proteoglycan biosynthetic process [GO:0030166]; regulation of Wnt signaling pathway [GO:0030111]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; visceral mesoderm-endoderm interaction involved in midgut development [GO:0007495]",Transcription factor required for proper proliferation and differentiation in the gastrointestinal epithelium. Target gene of the hedgehog (Hh) signaling pathway via GLI2 AND GLI3 transcription factors. 
18,R006180c0g2_i01,3,NA,KLC ,NA,NA,KLC ,NA,NA
19,R006818c0g1_i01,4,g2482,NAN,EXOSC4,Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41),EXOSC4 RRP41,"DNA deamination [GO:0045006]; U4 snRNA 3'-end processing [GO:0034475]; defense response to virus [GO:0051607]; histone mRNA catabolic process [GO:0071044]; maturation of 5.8S rRNA [GO:0000460]; nuclear mRNA surveillance [GO:0071028]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of cell growth [GO:0030307]; rRNA catabolic process [GO:0016075]","Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and promoter-upstream transcripts (PROMPTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. The RNA exosome may be involved in Ig class switch recombination (CSR) and/or Ig variable region somatic hypermutation (SHM) by targeting AICDA deamination activity to transcribed dsDNA substrates. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and specifically degrades inherently unstable mRNAs containing AU-rich elements (AREs) within their 3' untranslated regions, and in RNA surveillance pathways, preventing translation of aberrant mRNAs. It seems to be involved in degradation of histone mRNA. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. EXOSC4 binds to ARE-containing RNAs (By similarity). "
20,R007004c0g2_i01,6,NA,NAN,NA,NA,NA,NA,NA
21,R007537c0g1_i01,2,g9592,NAN,NA,Neoverrucotoxin subunit beta (NeoVTX subunit beta),NA,hemolysis in other organism [GO:0044179],"Has hemolytic and lethal activities. Its hemolytic activity is inhibited by anionic lipids, especially potently by cardiolipin. "
22,R007731c0g1_i01,7,g24313,CaSR,NA,Metabotropic glutamate receptor 3 (mGluR3),Grm3 Gprc1c Mglur3,"G protein-coupled glutamate receptor signaling pathway [GO:0007216]; modulation of chemical synaptic transmission [GO:0050804]; regulation of sensory perception of pain [GO:0051930]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]; synaptic transmission, glutamatergic [GO:0035249]",G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.
23,R007809c0g1_i02,8,g16557,NAN,MSX2,Homeobox protein vab-15 (Variable abnormal morphology protein 15),vab-15 R07B1.1,embryonic morphogenesis [GO:0048598]; locomotory behavior [GO:0007626]; parturition [GO:0007567],Probable transcription factor needed for the proper production of touch cell precursors. Essential for embryonic morphogenesis. 
24,R007987c0g1_i01,3,g954,Cup,PKD2L2,Polycystic kidney disease 2-like 1 protein (Polycystin-2 homolog) (Polycystin-2L1) (Polycystin-L) (Polycystin-L1),PKD2L1 PKD2L PKDL TRPP3,cation transport [GO:0006812]; cellular response to acidic pH [GO:0071468]; detection of chemical stimulus involved in sensory perception of sour taste [GO:0001581]; detection of chemical stimulus involved in sensory perception of taste [GO:0050912]; detection of mechanical stimulus [GO:0050982]; inorganic cation transmembrane transport [GO:0098662]; potassium ion transmembrane transport [GO:0071805]; protein homotetramerization [GO:0051289]; response to water [GO:0009415]; sensory perception of sour taste [GO:0050915]; smoothened signaling pathway [GO:0007224]; sodium ion transmembrane transport [GO:0035725],"Pore-forming subunit of a heterotetrameric, non-selective cation channel that is permeable to Ca(2+) (PubMed:10517637, PubMed:11959145, PubMed:25820328, PubMed:27754867, PubMed:29425510, PubMed:23212381, PubMed:30004384). Pore-forming subunit of a calcium-permeant ion channel formed by PKD1L2 and PKD1L1 in primary cilia, where it controls cilium calcium concentration, but does not affect cytoplasmic calcium concentration (PubMed:24336289). The channel formed by PKD1L2 and PKD1L1 in primary cilia regulates sonic hedgehog/SHH signaling and GLI2 transcription (PubMed:24336289). Pore-forming subunit of a channel formed by PKD1L2 and PKD1L3 that contributes to sour taste perception in gustatory cells (PubMed:19812697). The heteromeric channel formed by PKD1L2 and PKD1L3 is activated by low pH, but opens only when the extracellular pH rises again (PubMed:23212381). May play a role in the perception of carbonation taste (By similarity). May play a role in the sensory perception of water, via a mechanism that activates the channel in response to dilution of salivary bicarbonate and changes in salivary pH (By similarity). "
25,R007988c0g1_i01,4,g7774,NAN,ATP13A1,Manganese-transporting ATPase 13A1 (EC 3.6.3.-),ATP13A1 ATP13A KIAA1825 CGI-152,cellular calcium ion homeostasis [GO:0006874]; ion transmembrane transport [GO:0034220],Mediates manganese transport into the endoplasmic reticulum. The ATPase activity is required for cellular manganese homeostasis. 
26,R007999c0g1_i01,6,NA,NAN,NA,NA,NA,NA,NA
27,R008041c0g2_i01,5,g20042,NAN,IRF2BP1,Interferon regulatory factor 2-binding protein-like A (Enhanced at puberty protein 1 homolog A),irf2bpl-a eap1-a,NA,NA
28,R008134c0g1_i01,5,g506,NAN,NA,"Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)",CYP17A1 CYP17,sex differentiation [GO:0007548]; steroid biosynthetic process [GO:0006694],"Conversion of pregnenolone and progesterone to their 17-alpha-hydroxylated products and subsequently to dehydroepiandrosterone (DHEA) and androstenedione. Catalyzes both the 17-alpha-hydroxylation and the 17,20-lyase reaction."
29,R008274c0g1_i01,8,g18241,NAN,NA,NA,NA,NA,NA
30,R008385c0g2_i01,7,g815,NAN,ZFYVE1,Zinc finger FYVE domain-containing protein 1 (Double FYVE-containing protein 1) (SR3) (Tandem FYVE fingers-1),ZFYVE1 DFCP1 KIAA1589 TAFF1 ZNFN2A1 PP10436,cellular response to starvation [GO:0009267]; macroautophagy [GO:0016236]; negative regulation of phosphatase activity [GO:0010923],NA
31,R008820c0g1_i01,8,g6850,NAN,CUZD1,ZP domain-containing protein,CUZD1,NA,NA
32,R009039c0g1_i01,8,g31743,LPC,LPCAT1,Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 1),Lpcat2 Aytl1 Aytl1a Lpcat2a,membrane organization [GO:0061024]; phosphatidylcholine acyl-chain remodeling [GO:0036151]; platelet activating factor biosynthetic process [GO:0006663],"Possesses both acyltransferase and acetyltransferase activities (PubMed:17182612, PubMed:18156367). Activity is calcium-dependent (PubMed:17182612). Involved in platelet-activating factor (PAF) biosynthesis by catalyzing the conversion of the PAF precursor, 1-O-alkyl-sn-glycero-3-phosphocholine (lyso-PAF) into 1-O-alkyl-2-acetyl-sn-glycero-3-phosphocholine (PAF) (PubMed:17182612). Also converts lyso-PAF to 1-O-alkyl-2-acyl-sn-glycero-3-phosphocholine (PC), a major component of cell membranes and a PAF precursor (PubMed:17182612, PubMed:18156367). Under resting conditions, acyltransferase activity is preferred (PubMed:17182612). Upon acute inflammatory stimulus, acetyltransferase activity is enhanced and PAF synthesis increases (PubMed:17182612). Also catalyzes the conversion of 1-acyl-sn-glycero-3-phosphocholine to 1,2-diacyl-sn-glycero-3-phosphocholine. Involved in the regulation of lipid droplet number and size (By similarity). "
33,R009668c0g1_i01,8,g12459,NAN,FSCN1,Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55),FSCN1 FAN1 HSN SNL,actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; cell migration [GO:0016477]; cell motility [GO:0048870]; cell-cell junction assembly [GO:0007043]; cytokine-mediated signaling pathway [GO:0019221]; establishment of apical/basal cell polarity [GO:0035089]; establishment or maintenance of cell polarity [GO:0007163]; microspike assembly [GO:0030035]; parallel actin filament bundle assembly [GO:0030046]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of podosome assembly [GO:0071803]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microvillus assembly [GO:0032534],"Actin-binding protein that contains 2 major actin binding sites (PubMed:21685497, PubMed:23184945). Organizes filamentous actin into parallel bundles (PubMed:20393565, PubMed:21685497, PubMed:23184945). Plays a role in the organization of actin filament bundles and the formation of microspikes, membrane ruffles, and stress fibers (PubMed:22155786). Important for the formation of a diverse set of cell protrusions, such as filopodia, and for cell motility and migration (PubMed:20393565, PubMed:21685497, PubMed:23184945). Mediates reorganization of the actin cytoskeleton and axon growth cone collapse in response to NGF (PubMed:22155786). "
34,R010432c0g1_i01,3,g10650,NAN,NA,UPF0676 protein C1494.01,SPCC1494.01,NA,NA
35,R010433c0g1_i01,2,g10321,NAN,IQUB,IQ and ubiquitin-like domain-containing protein,IQUB,cilium assembly [GO:0060271]; smoothened signaling pathway [GO:0007224],May play roles in cilia formation and/or maintenance. 
36,R011312c0g1_i01,6,NA,NAN,NA,NA,NA,NA,NA
37,R011478c0g1_i01,4,g2068,NAN,NA,NA,NA,NA,NA
38,R011675c0g1_i01,4,g20098,NAN,GNAO1,Guanine nucleotide-binding protein G(o) subunit alpha (GTP-binding protein G39),GNAO1,adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; dopamine receptor signaling pathway [GO:0007212]; locomotory behavior [GO:0007626]; regulation of heart contraction [GO:0008016],Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. The G(o) protein function is not clear. Stimulated by RGS14 (By similarity). 
39,R012051c0g1_i01,4,g12705,NAN,NA,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),Egln1,"cardiac muscle tissue morphogenesis [GO:0055008]; cellular iron ion homeostasis [GO:0006879]; heart trabecula formation [GO:0060347]; labyrinthine layer development [GO:0060711]; negative regulation of CAMKK-AMPK signaling cascade [GO:1905290]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; oxygen homeostasis [GO:0032364]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron death [GO:1901216]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of angiogenesis [GO:0045765]; regulation of neuron death [GO:1901214]; regulation of postsynapse organization [GO:0099175]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; ventricular septum morphogenesis [GO:0060412]","Cellular oxygen sensor that catalyzes, under normoxic conditions, the post-translational formation of 4-hydroxyproline in hypoxia-inducible factor (HIF) alpha proteins. Hydroxylates a specific proline found in each of the oxygen-dependent degradation (ODD) domains (N-terminal, NODD, and C-terminal, CODD) of HIF1A. Also hydroxylates HIF2A. Has a preference for the CODD site for both HIF1A and HIF1B. Hydroxylated HIFs are then targeted for proteasomal degradation via the von Hippel-Lindau ubiquitination complex. Under hypoxic conditions, the hydroxylation reaction is attenuated allowing HIFs to escape degradation resulting in their translocation to the nucleus, heterodimerization with HIF1B, and increased expression of hypoxy-inducible genes. EGLN1 is the most important isozyme under normoxia and, through regulating the stability of HIF1, involved in various hypoxia-influenced processes such as angiogenesis in retinal and cardiac functionality. Target proteins are preferentially recognized via a LXXLAP motif. "
40,R012152c0g1_i01,2,g5505,NAN,NA,NA,NA,NA,NA
41,R012390c0g1_i01,5,NA,NAN,NA,NA,NA,NA,NA
42,R012451c0g2_i01,9,NA,NAN,NA,NA,NA,NA,NA
43,R012730c0g1_i01,5,g27999,Rsf-1,RSF1,Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex),RSF1 HBXAP XAP8,"CENP-A containing nucleosome assembly [GO:0034080]; DNA-templated transcription, initiation [GO:0006352]; chromatin remodeling [GO:0006338]; negative regulation of DNA binding [GO:0043392]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of viral transcription [GO:0050434]","Required for assembly of regular nucleosome arrays by the RSF chromatin-remodeling complex (PubMed:12972596). Facilitates transcription of hepatitis B virus (HBV) genes by the pX transcription activator. In case of infection by HBV, together with pX, it represses TNF-alpha induced NF-kappa-B transcription activation. Represses transcription when artificially recruited to chromatin by fusion to a heterogeneous DNA binding domain (PubMed:11944984, PubMed:11788598). "
44,R013073c0g2_i01,3,g15856,NAN,NA,NA,NA,NA,NA
45,R013138c0g1_i01,3,g21685,NAN,KLF12,Krueppel-like factor 8 (Basic krueppel-like factor 3) (Zinc finger protein 741),KLF8 BKLF3 ZNF741,negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357],Transcriptional repressor and activator. Binds to CACCC-boxes promoter elements. Also binds the GT-box of cyclin D1 promoter and mediates cell cycle progression at G(1) phase as a downstream target of focal adhesion kinase (FAK). 
46,R013153c0g1_i01,7,g17718,NAN,NA,Uncharacterized protein C594.04c,SPCC594.04c,steroid metabolic process [GO:0008202],NA
47,R013156c0g1_i01,7,g2328,v-Jun ,JUND,Transcription factor AP-1 (Proto-oncogene c-Jun),JUN,Ras protein signal transduction [GO:0007265],Transcription factor that recognizes and binds to the enhancer heptamer motif 5'-TGA[CG]TCA-3'. May be involved in activated KRAS-mediated transcriptional activation of USP28. May bind to the USP28 promoter. 
48,R013812c0g1_i01,9,g29234,NAN,SH3RF1,E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1),sh3rf1 posh TNeu006c09.1,"apoptotic process [GO:0006915]; neuron migration [GO:0001764]; positive regulation of JNK cascade [GO:0046330]; protein autoubiquitination [GO:0051865]; regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043370]; regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000564]","Has E3 ubiquitin-protein ligase activity. In the absence of an external substrate, it can catalyze self-ubiquitination. Acts as a scaffold protein that contributes to the effective activation of the JNK signaling pathway. "
49,R014382c0g1_i01,4,g26889,AOX,NA,"Acyl-coenzyme A oxidase 3, peroxisomal (AOX 3) (Acyl-CoA oxidase 3) (EC 1.3.3.6) (Medium-chain acyl-CoA oxidase) (AtCX3)",ACX3 At1g06290 F9P14.15 F9P14_11 T2D23.1,fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]; medium-chain fatty acid metabolic process [GO:0051791],Catalyzes the desaturation of medium-chain acyl-CoAs to 2-trans-enoyl-CoAs. Active on C8:0- to C14:0-CoA with a maximal activity on C12:0-CoA.
50,R014557c0g1_i01,1,NA,NAN,NA,NA,NA,NA,NA
51,R014688c0g2_i01,5,g25541,TPR,NA,Nephrocystin-3,nphp3,"Wnt signaling pathway [GO:0016055]; cilium assembly [GO:0060271]; convergent extension involved in gastrulation [GO:0060027]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000095]",Required for normal ciliary development and function. Inhibits disheveled-1-induced canonical Wnt-signaling activity and may also play a role in the control of non-canonical Wnt signaling that regulates planar cell polarity. Probably acts as a molecular switch between different Wnt signaling pathways. Required for proper convergent extension cell movements. 
52,R014746c0g1_i01,2,g23912,STRAD,STRADB,STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96),STRADA LYK5 STRAD,MAPK cascade [GO:0000165]; activation of protein kinase activity [GO:0032147]; cell cycle arrest [GO:0007050]; neuron projection morphogenesis [GO:0048812]; protein export from nucleus [GO:0006611]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098],"Pseudokinase which, in complex with CAB39/MO25 (CAB39/MO25alpha or CAB39L/MO25beta), binds to and activates STK11/LKB1. Adopts a closed conformation typical of active protein kinases and binds STK11/LKB1 as a pseudosubstrate, promoting conformational change of STK11/LKB1 in an active conformation. "
53,R014801c0g1_i01,1,g25134,VLDL,NA,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),VLDLR,axon guidance [GO:0007411]; cholesterol metabolic process [GO:0008203]; dendrite morphogenesis [GO:0048813]; glycoprotein transport [GO:0034436]; lipid transport [GO:0006869]; low-density lipoprotein particle receptor catabolic process [GO:0032802]; memory [GO:0007613]; nervous system development [GO:0007399]; positive regulation of dendrite development [GO:1900006]; positive regulation of protein kinase activity [GO:0045860]; receptor-mediated endocytosis [GO:0006898]; reelin-mediated signaling pathway [GO:0038026]; signal transduction [GO:0007165]; ventral spinal cord development [GO:0021517]; very-low-density lipoprotein particle clearance [GO:0034447],"Binds VLDL and transports it into cells by endocytosis. In order to be internalized, the receptor-ligand complexes must first cluster into clathrin-coated pits. Binding to Reelin induces tyrosine phosphorylation of Dab1 and modulation of Tau phosphorylation (By similarity). "
54,R014821c2g3_i01,2,g18528,NAN,NA,NA,NA,NA,NA
55,R014825c0g2_i02,8,NA,MMP-24,NA,NA,MMP-24,NA,NA
56,R014931c0g1_i01,5,g23071,PI4K-beta,PI4KB,Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67),pi4kb pik4cb,phosphatidylinositol phosphorylation [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015],"Phosphorylates phosphatidylinositol (PI) in the first committed step in the production of the second messenger inositol-1,4,5,-trisphosphate (PIP). "
57,R015123c0g1_i02,5,g18296,NAN,NA,Heme-binding protein 2 (Protein SOUL),Hebp2 Soul,negative regulation of mitochondrial membrane potential [GO:0010917]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940],Can promote mitochondrial permeability transition and facilitate necrotic cell death under different types of stress conditions (By similarity). May have low affinity for heme (PubMed:15518569). 
58,R015173c0g1_i01,9,g9169,NAN,CA8,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II),ca2,NA,Reversible hydration of carbon dioxide.
59,R015267c0g1_i01,5,g29675,NAN,NA,Solute carrier family 22 member 7 (Organic anion transporter 2) (mOAT2),Slc22a7 Oat2,organic anion transport [GO:0015711]; response to stilbenoid [GO:0035634],"Mediates sodium-independent multispecific organic anion transport. High affinity transport of glutarate and prostaglandin E2 in a sodium-independent manner. Mediates also the uptake of alpha-ketoglutarate, p-aminohippuric acid, methotrexate, ochratoxin A, valproate, allopurinol and bumetanide. "
